idx,technical_term,layman_term
73,aml,acute (myeloid) (monocytic) leukemia
74,amml,acute monomyelocytic leukemia
75,amnesia,loss of memory; inability to remember
76,amniocentesis,removal of some of the water from around an unborn baby for laboratory testing
77,amp,ampicillin
78,amt,amount
79,ana,antinuclear antibody
80,analgesic,pain relieving medication
81,anaphylaxis,"serious, potentially life threatening allergic reaction"
82,anemia,decreased red blood cells; low red blood cell count
83,anesthesia,loss of sensation or feeling
84,anesthetic (general),"a drug or agent used to decrease the feeling of pain or by
numbing an area of your body, without putting you to sleep"
85,anesthetic (local),"a drug or agent used to decrease the feeling of pain or
eliminate the feeling of pain by putting you to sleep"
86,anesthetize,to numb; put to sleep
87,anf,antinuclear factor
88,angina,(angina pectoris) pain resulting from insufficient blood to the heart
89,angioplasty,operation to open up a narrow blood vessel
90,aniso,anisocytosis
91,anll,acute nonlymphocytic leukemia
92,anomalies,physical defects
93,anorexia,condition in which a person will not eat; lack of appetite
94,anoxia,no oxygen
95,antacid,drug used to decrease acid in the stomach
96,antecubital,area inside the elbow
97,antibiotic,drug that kills bacteria and other germs
98,antibody,natural chemical made in the body that fights infection
99,anticonvulsant,drug used to prevent seizures
100,antiemetic,medication to prevent nausea/vomiting
101,antihistamine,drug used to treat allergic reactions
102,antilipidemic,a drug that decreases the level of fat(s) in the blood
103,antimicrobial,a drug that kills bacteria and other germs
104,antiretroviral,drug that inhibits certain viruses
105,antiseptic,substance used to stop or slow down the growth of germs
106,antitussive,a drug used to relieve coughing
107,ao,aortic
108,aob,alcohol on breath
109,aodm,adult onset diabetes mellitus
110,aortic,second sound
111,ap,anterior-posterior
112,aq,aqueous
113,arc,aids-related complex
114,ards,adult respiratory distress syndrome
115,arf,ambulatory recovery facility
116,arrhythmia,any change from the normal heartbeat (abnormal heartbeat)
117,art,arterial
118,arterial,catheter small tube placed in an artery
119,arthritis,swelling of one or more joints
120,asap,as soon as possible
121,ascvd,arteriosclerotic cardiovascular disease
122,asd,arterial septal defect
123,ashd,arteriosclerotic heart disease
124,asmi,anteroseptal myocardial infarct
125,aso,anti-streptolysin-o titer
126,asphyxia,"suffocation, unable to get enough oxygen"
127,aspiration,inhale into the lungs; or removal of fluid through tube or needle
128,aspiration,fluid entering lungs
129,assay,lab test
130,assent,agreement
131,assess,to learn about
132,assist,help
133,ast,aspartate aminotransferase (formerly sgot)
134,asthenia,loss of energy; weakness
135,asthma,a lung disease associated with tightening of the air passages
136,asymptomatic,without symptoms
137,atrophy,wasting away or decrease in size
138,atsf,ambulatory therapy and surgical facility
139,audiogram,report of a hearing test
140,audiology,the study of hearing
141,audiometer,tool used to measure hearing
142,audit,review; inspect; look at
143,aul,acute undifferentiated leukemia
144,authorization,your written permission; your written approval
145,authorizing,disclosures allowing us to share information
146,autonomy,being able to make one's own decisions
147,available,to the body
148,avm,arteriovenous malformation
149,avn,avascular necrosis
150,ax,axillary
151,axilla,armpit
152,baseline,visit/period first visit
153,baso,basophil
154,bbb,bundle branch block
155,bbt,basal body temperature
156,be,barium enema
157,bec,before exam completed
158,benefit,a valued or desired outcome; an advantage
159,benign,something that has no bad effects or does not spread; not
160,beta,blocker drug used to slow down the heart
161,bid,twice a day
162,bilateral,having to do with both sides (of the body)
163,bili,bilirubin
164,binding/bound,"carried by, to make stick together, transported"
165,bioavailability,the extent to which a drug or other substance becomes
166,bjm,"bones, joints and muscles"
167,bk,below the knee
168,bka,below the knee amputation
169,bm,bowel movement
170,bmr,basal metabolic rate
171,bmt,bone marrow transplant
172,bno,bladder neck obstruction
173,bp,blood pressure
174,bph,benign prostatic hypertrophy
175,br,bedrest
176,bradyarrhythmias,"slow, irregular heart beat"
177,bradycardia,slow heartbeat
178,brao,branch retinal artery occlusion
179,brbpr,bright red blood per rectum
180,bronchitis,inflammation of the lungs
181,bronchospasm,breathing distress caused by narrowing of the airways
182,bronchus,tube that carries air from the windpipe to the lungs
183,brp,bath room privileges
184,brvo,branch retinal vein occlusion
185,bss,balanced salt solution
186,btl,bilateral tubal ligation
187,bu,bethesda unit
188,bulimia,eating disorder in which a person cannot stop eating and often vomits to make room for more food
189,bun,blood urea nitrogen
190,c-,with
191,c-(number),(number) cervical vertebra
192,c/o,complaining of
193,c/w,consistent with
194,c&s,culture and sensitivity
195,c1,complement component
196,c3,complement component
197,c4,complement component
198,ca,calcium
199,ca,cancer
200,cabg,coronary artery bypass graft
201,cad,coronary artery disease
202,cal,calorie
203,calcipenia,low in calcium
204,cancer,radiotherapy treatment of cancer using x rays
205,capd,chronic ambulatory peritoneal dialysis
206,capillary,tiny blood vessel
207,capsule,pill
208,carcinogenic,capable of causing cancer
209,carcinoma,type of cancer
210,cardiac,heart; having to do with the heart
211,cardiovascular,heart-related
212,cataract,clouding of the lens of the eye
213,cath,catheter
214,catheter,small tube for withdrawing or introducing fluids
215,cbc,complete blood count
216,cc,chief complaint
217,ccc,critical care center
218,cce,"clubbing, cyanosis or edema"
219,ccu,coronary care unit
220,cea,carcinoembryonic antigen
221,central,nervous system (cns) brain and spinal cord
222,cephalalgia,headache
223,cerebellum,the part of the brain that controls the movement of the muscles
224,certify,confirm in writing
225,cessation,stopping
226,cf,cystic fibrosis
227,cgy,centigray
228,ch5o,total hemolytic complement
229,chd,congenital heart disease
230,chemotherapy,"treatment of disease, usually cancer, using drugs"
231,chf,congestive heart failure
232,chloasma,tumor arising from the skin and other organs
233,cho,carbohydrate
234,chol,cholesterol
235,chronic,"long-term, recurring"
236,cin,cervical intraepithelial neoplasia
237,cis,carcinoma in-situ
238,cisplatin,a drug used to kill cancer cells
239,ck,creatine kinase
240,cl,chloride
241,clavicle,collarbone
242,clinical,pertaining to medical care
243,clinical,trial an experiment with humans
244,clinically,significant of major importance for treating or evaluating patients
245,cll,chronic lymphocytic leukemia
246,close,proximity near
247,cm,centimeter
248,cme,cystoid macular edema
249,cmg,cystometrogram
250,cml,chronic myelocytic leukemia
251,cmv,cytomegalovirus
252,cns,central nervous system
253,co2,carbon dioxide
254,coag,coagulation
255,coagulation,form blood clot
256,coerced,pressured; forced
257,colon,large intestine; bowel
258,colonoscopy,procedure to look at the large intestine that uses a special camera at the end of a long tube that is inserted in the rectum
259,coma,unconscious state
260,committed,promised
261,communicates,tells; let you know
262,comp,compound
263,congenital,"occurring prior to birth, due to parent’s genetic input"
264,conjunctivitis,irritation and redness of the thin membrane covering the eye
265,consent,agreement
266,cont,continuously
267,contraindications,medical reasons that prevent a person from using a certain drug
268,contusion,bruise
269,convulsions,"seizures, epileptic fit"
270,copd,chronic obstructive pulmonary disease
271,cornea,clear tissue covering the front part of the eye
272,coronary,pertains to the blood vessels that supply the heart
273,cpk,creatinine phosphokinase
274,cpm,counts per minute
275,cpm,continuous passive motion
276,cpr,cardiopulmonary resuscitation
277,creat,creatinine
278,csf,cerebrospinal fluid
279,cso,community service officer
280,ct,(cat) scan computerized (axial) tomography; computerized series of xrays;
281,ct,computerized tomography scan
282,cta,clear to auscultation
283,cu,copper
284,culture,test for the presence of bacteria or viruses that could cause infection
285,cumulation,increased action of a drug when given over a period of time
286,cumulative,"total sum (of individual events, experiences, treatments)"
287,cutaneous,relating to the skin
288,cva,cerebrovascular accident; stroke
289,cxr,chest x-ray
290,cya,cyclosporine a level
291,cytoid,like a cell
292,d,day
293,d/w,discussed with
294,db,decibel
295,debilitation,weakened condition
296,deceased,person dead person; someone who died
297,decub,decubitus
298,defecate,bowel movement; to pass stool
299,defibrillation,a procedure that uses electricity to stimulate the heart and make it return to its normal rythmn
300,dehydrate,lose water or body fluids
301,demographic,personal statistics; person information
302,deoxyribonucleic,acid (dna) material that makes up the genes
303,depressant,drug that slows down the action of the central nervous system
304,derm,dermatology
305,dermatologic,pertaining to the skin
306,deteriorate,to get worse; to lose function
307,determine,(s) decide(s)
308,diagnostic,(procedure) tests used to identify a disorder or disease in a living person
309,dic,disseminated intravascular coagulation
310,diff,differential white blood cell count
311,dig,level digoxin level
312,dip,distal interphalangeal joint
313,diplopia,double vision
314,disclosure,information share information; give; tell
315,disclosures,we will make information we will share
316,distal,"toward the end, away from the center of the body"
317,distension,bloated; swollen; inflated
318,djd,degenerative joint disease
319,dka,diabetic ketoacidosis
320,dm,diabetes mellitus
321,dmi,diaphragmatic myocardial infarction
322,dna,deoxyribonucleic acid
323,dnr,do not resuscitate
324,doa,dead on arrival
325,doe,dyspnea on exertion
326,dpa,department of public assistance
327,dr,diabetic retinopathy
328,ds,discharge summary
329,dt,diptheria tetanus
330,dtr,deep tendon reflex
331,dts,delirium tremens
332,duct,tube that carries a body fluid
333,duodenum,beginning of the small intestine that is attached to the stomach
334,duration,length of time involved
335,dvt,deep venous thrombosis
336,dx,diagnosis
337,dysfunction,not functioning properly
338,dyspepsia,gas; upset stomach
339,dysphagia,difficulty in swallowing
340,dysplasia,abnormal cells
341,dyspnea,hard to breathe; short of breath
342,eac,external auditory canal
343,ebl,estimated blood loss
344,ecd,endocardial cushion defect
345,ecg,ekg or electrocardiogram picture and measurement of the heart rhythm
346,ecg,electrocardiogram
347,echo,echocardiogram
348,echo(virus),enteric cytopathogenic human orphan virus
349,echocardiogram,procedure that uses sound waves for examination of the heart
350,ecochg,electrocochleogram
351,ect,electroconvulsive therapy
352,edema,swelling (fluid or water retention)
353,edv,end-diastolic volume
354,eeg,or electroencephalogram measurement of electrical activity of the brain
355,eeg,electroencephalogram
356,eent,"eyes, ears, nose and throat"
357,ef,ejection fraction
358,effective,date takes effect on
359,efficacy,effectiveness
360,electrolyte,imbalance imbalance of salts or chemicals in the blood
361,electrophysiology,study heart rhythm study
362,elevation,of liver function tests evidence of liver or kidney damage
363,elp,serum protein electrophoresis
364,embolus,blood clot
365,embryo,unborn baby
366,emesis,vomiting
367,emg,electromyography
368,empiric,based on experience
369,enable,allow; make possible
370,endorphin,substance made by the body to stop pain
371,endoscopic,examination examination of the internal part of the body with a lighted tube;
372,enema,medication given through the rectum that cleans out the bowel
373,eng,electronystagmogram
374,ensure,make sure
375,enteral,by way of the intestines
376,entities,facilities; institutions; organizations
377,enzyme,a chemical in the blood that causes chemical changes
378,enzyme,abnormality blood test result that suggests abnormal organ function or
379,eog,electro-oculogram
380,eom,extraocular muscles
381,eomi,extraocular muscles intact
382,eos,eosinophil
383,epidermal,having to do with the outer layer of skin
384,epidermis,outer layer of skin
385,epidural,outside the spinal cord
386,eradicating,getting rid of (such as a disease)
387,ercp,endoscopic retrograde
388,erg,electroretinogram
389,esophagus,tube that goes from the throat to the stomach
390,esp,extrasensory perception
391,esr,erythrocyte sedimentation reate
392,established,protocols has rules
393,eta,estimated time of arrival
394,etoh,"ethanol, ethyl alcohol"
395,ett,endotracheal tube
396,eua,examination under anesthesia
397,evaluate,measure; rate
398,evaluated,assessed; examined for medical condition
399,examination,exam
400,excrete,"discharge, pass"
401,experienced,adverse events been injured or hurt
402,external,outside the body
403,extr,extremities
404,extravasate,"to leak outside of a blood vessel, spills"
405,f,n finger-to-nose
406,f/u,follow up
407,fa,fluorescent antibody
408,fai,functional aerobic impairment
409,family,member who is your legal representative for health care
410,fast,a required period to go without food; do not eat or drink
411,fatigue,feeling tired
412,fb,foreign body
413,fbs,fasting blood sugar
414,fda,"u.s. food and drug administration, the branch of federal"
415,fdp,fibrin degradation product
416,fe,iron
417,fetus,unborn baby
418,fhcrc,fred hutchinson cancer research center
419,fib,fibrinogen
420,fibrillation,irregular beat of the heart or other muscle
421,fibrosis,scars
422,fibrous,having many fibers (such as scar tissue)
423,file,a written complaint write or e-mail a letter of complaint
424,filing,a complaint complaining
425,first,systolic heart sound
426,flatulence,gas passed through the anus / rectum
427,fluoroscope,x-ray machine
428,fmc,family medicine clinic
429,fourth,systolic heart sound
430,fracture,break
431,fsh,follicle stimulating hormone
432,ft,foot
433,fta,fluorescent treponemal antibody
434,fungus,form of infection
435,fuo,fever of undetermined origin
436,g/dl,grams per deciliter
437,g6pd,glucose-6-phosphate dehydrogenase deficiency
438,gait,walk
439,gastric,stomach
440,gastrointestinal,stomach and intestine
441,gb,gallbladder
442,gc,gonorrhea
443,gcs,glascow coma scale
444,gen,general
445,general,"anesthesia pain prevention by induction of drugged sleep, as in surgery"
446,genotype,the genetic makeup of an individual.
447,gent,gentamicin
448,gestational,pertaining to pregnancy
449,ggt,gamma glutamyl transferase
450,gi,gastrointestinal
451,glu,glucose
452,glucose,type of sugar found in the blood
453,graph,"chart, records"
454,gsw,gun shot wound
455,gtt,glucose tolerance test
456,gu,genitourinary
457,gvhd,graft-versus-host disease
458,gy,gray
459,gyn,gynecology
460,gynecology,the study of the reproductive system of women
461,h2o,water
462,ha,headache
463,haa,hepatitis antigen
464,hb,hemoglobin
465,hcg,human chorionic gonadotrophin
466,hct,hematocrit
467,hdl,high density lipoprotein
468,heent,"head, eyes, ears, nose and throat"
469,hematocrit,amount of red blood cells in the blood
470,hematologist,doctor who treats blood disorders
471,hematoma,"a bruise, a black and blue area, blood clot"
472,hemodynamic,measurement test to measure blood flow
473,hemolysis,breakdown in red blood cells
474,hemorrhage,loss of blood (heavy bleeding)
475,hep,hepatitis
476,heparin,lock needle placed in the arm with blood thinner to keep the blood from clotting
477,hepatic,liver
478,hepatitis,inflammation of the liver
479,hepatoma,cancer or tumor of the liver
480,hepb,hepatitis b
481,heritable disease,a disease which can be transmitted to one’s offspring
482,hgh,human growth hormone
483,histopathologic,pertaining to the disease status of body tissues or cells
484,hiv,human immunodeficiency virus
485,hjr,hepatojugular reflex
486,hm,hand motion
487,holter,monitor a portable machine for recording heart beats
488,hormone,a chemical in the blood
489,hr,heart rate
490,hr,hour
491,ht,height
492,htn,hypertension
493,hus,hemolytic uremic syndrome
494,hx,history
495,hypercalcemia,high blood calcium level
496,hyperkalemia,high blood potassium level
497,hypernatremia,high blood sodium level
498,hyperopia,farsightedness
499,hypertension,high blood pressure
500,hypo,hypodermic
501,hypocalcemia,low blood calcium level
502,hypodermic,under the skin
503,hypoglycemia,not enough sugar in the blood
504,hypokalemia,low blood potassium level
505,hyponatremia,low blood sodium level
506,hypotension,low blood pressure
507,hypotension,low blood pressure
508,hypothermia,low body temperature
509,hypoxia,low oxygen level in the blood
510,hysterectomy,removal of the womb
511,hz,hertz (cycles per second)
512,i,iodide
513,i.v. push,rapid injection into a vein
514,i&d,incision and drainage
515,i&o,intake and output
516,ia,intra-arterial
517,iatrogenic,caused by a physician or by treatment
518,icsh,interstitial cell stimulating hormone
519,icu,intensive care unit
520,id,identification
521,ide,"investigational device exemption, the license to test an unapproved medical device"
522,identifiable,information personal information that can identify you
523,idiopathic,of unknown cause
524,idiosyncrasy,rare side effect of a drug; unusual reaction of a person to a drug
525,iga,class of immunoglobulin
526,igd,class of immunoglobulin
527,ige,class of immunoglobulin
528,igg,class of immunoglobulin
529,igm,class of immunoglobulin
530,ihss,idiopathic hypertrophic subaortic stenosis
531,iic,intermediate intensive care
532,im,intramuscular
533,immobilization,unable to move
534,immunization,administration of a substance to prevent disease
535,immunoglobulin,a combination of antibodies from proteins in the blood
536,immunological,related to the body’s ability to fight infection
537,immunosuppressive,"drug which suppresses the body’s immune response, used in transplates"
538,immunotherapy,given of drugs to help the body’s immune (protective) system
539,impaired,function not working properly
540,implanted,placed in the body
541,imv,intermittent mandatory ventilation
542,in vitro,in a test tube
543,in vivo,in the body
544,incomplete,lacking; unfinished
545,incorrect,wrong
546,incumbent,upon must
547,ind,investigational new drug; the license to test an unapproved new drug
548,indicate,tell us
549,induction,phase beginning phase or stage of a treatment
550,induration,hardening
551,indwelling,tube left in a vein
552,inert,not active; substance that doesn’t affect you
553,infarct,death of tissue because of lack of blood supply
554,infectious,disease disease which is transmitted from one person to next
555,inflammation,"swelling which is generally painful, red, and warm"
556,inflation,to put air in
557,influenza,the flu
558,information,about your healthy care that identifies you
559,infusion,"introduction of a substance into the body, usually into the blood"
560,ingestion,eating; taking by mouth
561,inj,injection
562,inject,to put into by way of a needle of other device
563,insomnia,unable to sleep
564,instruments,in testing specify what instruments are to be used and how they are used
565,interferon,agent which acts against viruses; antiviral agent
566,intermittent,occurring (regularly or irregularly) between two time points;
567,internal,interior within the body
568,intestine,stomach (belly)
569,intracatheter,small tube in a vein
570,intracatheter,small tube in a vein
571,intramuscular,into the muscle; within the muscle
572,intramuscular,"(im) injection injection of a substance into a muscle (e.g., upper arm or backside)"
573,intraperitoneal,into the abdominal cavity
574,intraperitoneal,into the abdomen cavity
575,intrathecal,into the spinal fluid
576,intravenous,(iv) injection injection of a substance into a vein
577,intravenous,infusion to drip into the blood vessel through a plastic tube and needle
578,intravesical,in the bladder
579,intubate,the placement of a tube into the airway
580,invasive,"procedure puncture, opening or cutting of the skin"
581,investigational,new drug a new drug which has not yet been approved by the fda
582,investigator,study doctor
583,ippb,intermediate positive pressure breathing
584,iq,intelligence quotient
585,irradiation,x-ray
586,ischemia,procedure decreased oxygen in tissue (usually because of decreased blood flow)
587,iv,intravenous(ly)
588,ivdu,intravenous drug user
589,ivp,intravenous pyelogram
590,jaundice,yellowing of the skin
591,jodm,juvenile onset diabetes mellitus
592,jvd,jugular venous distention
593,jvp,jugular venous pulse
594,k,potassium
595,k/p,kidney/pancreas transplant
596,khz,kilohertz
597,kub,"kidney, ureter, bladder"
598,l-[#],lumbar vertebra # (assign arabic #1-5)
599,l&i,labor and industries
600,la,left atrium
601,lab,laboratory
602,lac,laceration
603,lactating,nursing
604,lactation,period of time during which a woman is providing her breast milk to an infant or child
605,lad,left anterior descending
606,lalk,leukocyte alkaline phosphatase
607,lao,left anterior oblique
608,lap,leucine amino peptidase
609,lap,laparotomy
610,laparotomy,"a procedure in which an incision is made in the abdominal wall
to enable a physician to look at the organs"
611,lat,lateral
612,lateral,toward or having to do with one side (of the body)
613,ldh,lactate dehydrogenase
614,ldl,low density lipoprotein
615,le-prep,lupus erythematosus preparation
616,legal,proceeding such as a court case
617,les,lower esophageal sphincter
618,lesion,"abnormal area of tissue, such as a wound, sore, rash, or boil"
619,lethargy,sleepiness
620,leucocyte,blood cells that fight infection
621,leukopenia,low white blood cell count
622,lft,liver function test
623,lh,luteinizing hormone
624,libido,sexual desire
625,licensure,being licensed
626,lipid,fat
627,lipid,profile (panel) fat and cholesterol levels in the blood
628,llq,left lower quadrant
629,local,anesthesia creation of insensitivity to pain in a small local area of the body
630,localized,restricted to one area; limited to one area (of the body)
631,looking,at a part of the body with a lighted tube
632,lpo,left posterior oblique
633,ls,lumbosacral
634,lt,left
635,ltf,lipotropic hormone
636,lth,luteotropic hormone
637,lumbar,puncture spinal tap; a needle inserted between the bones of the spine to put in a drug or take a sample of fluid
638,lumbosacral,lower back
639,lumen,cavity of an organ or tube (e.g. inside of blood vessel)
640,luq,left upper quadrant
641,lv,left ventricular
642,lymphangiography,"an x-ray of the lymph nodes or tissues after injection of dye in
lymph vessels (e.g. in feet)"
643,lymphocyte,a type of white blood cell important in the body’s defense against infection
644,lymphoma,a cancer of the lymph nodes (or tissues)
645,lymphs,lymphocytes
646,lytes,"electrolytes (na,k,cl,co2)"
647,m,murmur
648,m-6,blood test on 6 electrolytes
649,m/e,myeloid/erythroid ratio
650,ma,tube miller-abbott tube
651,ma,milliampere
652,macro,large or long
653,magnetic resonance imaging,"magnetic resonance imaging, body pictures created using
magnetic rather than x-ray energy"
654,maintained,kept
655,malaise,"a vague feeling of bodily discomfort, feeling bad"
656,malfunction,condition in which something is not functioning properly
657,malignancy,"cancer or other progressively enlarging and spreading tumor,
fatal if not successfully treated"
658,mao,monoamine oxidase
659,mastectomy,surgery to remove a breast
660,mat,multifocal atrial tachycardia
661,material change,significant change
662,mca,middle cerebral artery
663,mch,mean corpuscular hemoglobin
664,mchc,mean corpuscular hemoglobin concentration
665,mcl,midclavicular line
666,mcp,metacarpophalangeal (joint)
667,mcv,mean corpuscular volume
668,md,muscular dystrophy
669,medications,drugs; medicines
670,medulloblastoma,type of brain tumor
671,meningitis,infection or irritation around the brain
672,metabolism,chemical changes which provide energy
673,metabolize,process of breaking down substances in the cells
674,metastasis,spread of cancer cells from one part of the body to another
675,metronidazole,"a drug used to treat infections caused by parasites or other
causes of anaerobic infections"
676,mg,magnesium
677,mg,myasthenia gravis
678,mhp,mental health professional
679,mi,heart attack
680,minimal,slight
681,minimize,reduce
682,mjr,major
683,mmpi,minnesota multiphasic personality inventory
684,mn,midnight
685,mobility,ease of movement; ability to move around
686,modm,maturity onset diabetes mellitus
687,monitor,"check on, keep track of, watch carefully"
688,monos,monocytes
689,morbidity,undesired result or complication; serious disease
690,mortality,death or death rate
691,mpgn,membranoproliferative glomerulonephritis
692,mr,mitral regurgitation
693,mri,"magnetic resonance imaging, body pictures created using
magnetic rather than x-ray energy"
694,ms,multiple sclerosis
695,msec,millisecond
696,msh,melanocyte stimulating hormone
697,mtp,metatarsophalangeal (joint)
698,mucoid,slimy
699,"mucosa,","mucous membrane moist lining of digestive, respiratory, reproductive, and urinary tracts"
700,mv,millivolt
701,mva,motor vehicle accident
702,mvr,mitral valve replacement
703,myalgia,muscle aches
704,myocardial,infarction pertaining to the (muscle of the) heart
705,myocardial infarction,heart attack
706,myopia,nearsightedness
707,n,noon
708,,not applicable
709,na,sodium
710,nad,no acute distress
711,nasal,nose
712,naso-gastric,tube tube that goes through the nose and into the stomach
713,nausea,feel sick to the stomach
714,nc,noncontributory
715,nc/at,"normocephalic, atraumatic"
716,ncv,nerve conduction velocity
717,neac,normal external auditory canal
718,necrosis,death of tissue or skin
719,ned,no evidence of disease
720,neg,negative
721,negligible,small or unimportant
722,neoplasia,"tumor, may be non-cancerous or cancerous"
723,neuroblastoma,a cancer of nerve tissue
724,neurological,pertaining to the nervous system
725,neurological,"exam test of the brain, spinal cord and reflexes"
726,neurologist,doctor who treats disorders of the central nervous system and nerves
727,neurosis,mental and emotional disorder
728,neutr,neutrophil
729,neutropenia,decrease in the main part of the white blood cells
730,ng,nasogastric
731,nh,nursing home
732,niddm,non-insulin dependent diabetes mellitus
733,nl,normal
734,no.,number
735,noc,night
736,non-invasive,"not breaking, cutting or entering the skin"
737,nosocomial,pneumonia pneumonia acquired in the hospital
738,notify,tell you/tell us
739,npc,nodal premature contraction
740,npdr,nonproliferative diabetic retinopathy
741,npn,non-protein nitrogen
742,nr,nonreactive
743,nrom,normal range of motion
744,nsaid,nonsteroidal anti-inflammatory drug
745,nsr,normal sinus rhythm
746,nst,nonstress test
747,nsu,nonspecific urethritis
748,nsy,neurosurgery
749,numbing,"an area of your body, without putting you to sleep"
750,nvd,neovascularization of disc
751,o,objective
752,o2,oxygen
753,observations,reports
754,obtain,a copy get a copy
755,obtaining,getting
756,occasionally,"the subject, but not the investigator, knows the"
757,occlusion,closing; obstruction
758,occult,blood test a sample of stool taken and tested for tiny amounts of blood
759,ocg,oral cholecystogram
760,od,overdose
761,oh,occupational health
762,ohd,organic heart disease
763,olt,orthotopic liver transplant
764,oncology,the study of tumors or cancer
765,oob,out of bed
766,op,operation
767,open,"label a study in which the drug, device, procedure is known to patient and investigator"
768,ophth,pertaining to the eye
769,ophthalmic,pertaining to the eye
770,ophthalmologist,doctor who treats eye disorders
771,optimal,"best, most favorable or desirable"
772,or,operating room
773,oral,administration giving a drug by mouth
774,orif,open reduction internal fixation
775,origin,beginning cause
776,ortho,orthopedics
777,orthodontist,dentist who treats teeth and jaw disorders
778,orthopedic,pertaining to the bones
779,orthopedist,doctor who treats bone and joint disorders
780,osm,osmolality
781,osteopetrosis,rare bone disorder characterized by dense bone
782,osteoporosis,softening of the bones
783,ot,occupational therapy
784,otc,over-the-counter
785,oto,otology
786,otologist,doctor who treats disorders of the ear
787,otorhinolaryngologist,"doctor who treats disorders of the ear, nose, and throat"
788,otoscope,tool used to look into the ear
789,ovaries,female sex glands; female organs which release eggs
790,p,pulse
791,p-,after
792,p2,pulmonary second sound
793,pa,postero-anterior
794,pac,premature atrial contraction
795,pacu,post anesthesia care unit
796,palpitation,rapid heart beat
797,pap,test microscope test used to detect virus infection of the cervix or
798,parenteral,administration by injection
799,partial,seizure seizure
800,pat,paroxysmal atrial tachycardia
801,patency,condition of being open
802,pathogenesis,the initial cause of a disease
803,pathogenic,causing disease
804,pbi,protein bound iodine
805,pbk,pseudophakia bullous keratopathy
806,pdr,proliferative diabetic retinopathy
807,pe,pulmonary embolus
808,per,os (po) by mouth
809,percutaneous,through the skin
810,perforation,"puncture, tear or hole"
811,peripheral,not central
812,perrla,"pupils equal, round, reactive to light and accommodation."
813,pet,(positron emission tomography) special camera that uses radiation to look at the structure and functioning of parts of the body
814,ph,acid-alkalinity balance
815,phalanx,finger or toe bone
816,pharmacokinetics,"study of the way the body absorbs, distributes and gets rid of a drug"
817,pharmacological,effect of the drug
818,pharynx,throat
819,phase 1 drug trial,"initial study of a new drug in humans to determine limits of
tolerance. the first use of a new drug in humans happens in a
phase 1 study. these studies are usually conducted with healthy
volunteers; but if a drug is very poisonous, or is used to treat a
deadly disease, sick patients who have that disease might be
subjects. usually, there are about 20 – 80 human subjects in
phase 1 studies.
phase 1 trials are conducted to see how the drug acts in the
body, if it is safe to use, and to find out the safe dose range. if
the results of the phase 1 studies are good, testing continues in
phase 2 studies."
